10001课,料理,休みは何をしますか？,,
李娜,来|两瓶|可乐|,,コーラを二本下さい,来る|二本（瓶は量詞、瓶を数える）|コーラ|
服务员,好的|,,分かりました,分かりました|
10014课,タクシー,何番ターミナルですか？,,
司机,您|去哪儿|?|,,どこに行きますか?,あなた|どこに行く|?|
山本健一,"我|去|浦东|机场|,|到|机场|大概|多长时间|?|",,"浦東空港に行きます,空港まで大体どのくらい掛かりますか?","私|行く|浦東|空港|,|～まで|空港|大体|どれぐらいの時間|?|"
司机,"不|堵|的话|,|差不多|一个小时|",,混まなければほぼ一時間です,"～ではない|混む|～ということなら|,|ほぼ|一時間|"
山本健一,"请|快|一点儿|,|我|有|急事|",,"どうか少し速めでお願いします,急用がありますので","どうぞ|速い|少し|,|私|有る|急用|"
司机,"好的|,|您|几点|的|飞机|?|",,"分かりました,何時の飛行機ですか?","分かりました|,|あなた|何時|の|飛行機|?|"
山本健一,八点|三十分|起飞|的|,,八時三十分発の飛行機です,八時|三十分|離陸する|の|
司机,"来得及|,|几号|航站楼|?|",,"間に合いますよ,何番ターミナルですか?","間に合う|,|何番|ターミナル|?|"
山本健一,二号|航站楼|,,二番ターミナルです,二番|ターミナル|
司机,好的|,,分かりました,分かりました|
10015课,病院,お腹をこわしました,,
医生,你|怎么了|?|,,どうかしましたか?,あなた|どうかしましたか|?|
山本健一,肚子|疼|得|厉害|,,お腹がとても痛いんです,お腹|痛い|の|すごい|
医生,拉肚子|了|吗|?|,,お腹を壊ししましたか?,お腹を壊す|～した|～ですか|?|
山本健一,是的|,,そうです,そうです|
医生,昨天|吃|什么|了|?|,,昨日何を食べましたか?,昨日|食べる|何|～した|?|
山本健一,吃|了|色拉|和|生鱼片|,,サラダと刺し身を食べました,食べる|～した|サラダ|と|刺し身|
医生,发烧|吗|?|,,熱はありますか?,熱が出る|～ですか|?|
山本健一,不|发烧|,,熱はありません,～ではない|熱が出る|
医生,"你|先|去|检查|,|然后|我|再|告诉|你|检查|的|结果|",,"まず検査に行って,その後またあなたに検査結果を伝えます","あなた|先に|行く|検査|,|その後|私|また|伝える|検査|の|結果|"
山本健一,好吧|,,分かりました,分かりました|
10016课,生活,どれくらい中国語を勉強しましたか？,,
李娜,你|学|汉语|学|了|多长时间|了|?|,,あなたはどれくらい中国語を勉強しましたか?,あなた|勉強する|中国語|勉強する|～した|どれぐらいの時間|～した|?|
山本健一,学|了|一年|了|,,一年勉強しました,勉強する|～した|一年|～した|
李娜,"我|说|的|话|,|你|能|听|懂|吗|?|",,私のしゃべっている話は聞き取ることが出来ますか?,"私|しゃべる|の|話|,|あなた|出来る|聞く|分かる|～ですか|?|"
山本健一,"慢|点儿|说|,|我|听得懂|",,"ゆっくりしゃべると,聞き取ることが出来ます","ゆっくり|少し|しゃべる|,|私|聞いて分かる|"
李娜,你|应该|多|跟|中国人|谈话|,,中国人と多くしゃべるべきですよ,あなた|～すべきです|多い|と|中国人|話をする|
山本健一,"对|,|这样|可以|提高|汉语|",,"そうです,そうすれば中国語を向上出来ますね","そうです|,|そうする|出来る|向上する|中国語|"
10017课,バス,このバスは古北路に着きますか？,,
山本健一,"请问|,|这|路|公交车|到|古北路|吗|?|",,"お尋ねします,このバスは古北路に着きますか?","お尋ねします|,|この|道路|バス|着く|古北路|～ですか|?|"
司机,"到|,|上来|吧|",,"着きますよ,上がって来て下さい","着く|,|上がって来る|～しましょう|"
山本健一,多少钱|?|,,いくらですか?,いくら|?|
司机,"两块|,|可以|用|交通卡|",,二元です、交通カードを使うことが出来ますよ,"二元|,|出来る|使う|交通カード|"
山本健一,到|古北路|还|有|几站|?|,,古北路まであと何駅ですか?,～まで|古北路|まだ|有る|何駅|?|
司机,下两站|就|是|古北路|,,二駅先が古北路です,二駅先|すぐ|～です|古北路|
山本健一,好的|,,分かりました,分かりました|
司机,"古北路|到|了|,|请|下车|吧|",,古北路に着きました、どうぞおりて下さい,"古北路|着く|～した|,|どうぞ|車をおりる|～しましょう|"
10018课,タクシー,中国のタクシーはとても安い,,
李娜,中国|的|出租车|很|便宜|,,中国のタクシーはとても安いね,中国|の|タクシー|とても|安い|
山本健一,"可是|很|危险|,|有的|司机|开得|太快了|",,"でもとても危険です,ある運転手は運転が速すぎるよ","でも|とても|危険である|,|ある|運転手|運転が|速すぎる|"
李娜,一些|司机|是|这样|,,そのような運転手もいくらかいます,いくらか|運転手|～です|このような|
山本健一,"上次|有个|司机|一边|开车|,|一边|打电话|,|太|糟糕|了|",,"前回運転しながら電話をしている運転手がいて,ひどかったです","前回|います|運転手|～しながら～する（一边～一边～）|運転する|,|～しながら～する（一边～一边～）|電話を掛ける|,|すごく～（文末に了を伴う）|ひどい|（強調、太～了の形で使われる）|"
李娜,是|吗|?|这样|不好|,,そうですか?そういうのは良くないですね,～です|～ですか|?|このような|良くない|
山本健一,所以|我|现在|很少|坐|出租车|了|,,だから私は今あまりタクシーに乗っていません,だから|私|今|少ない|乗る|タクシー|～した|
10019课,買い物,今バーゲン中だそうですね,,
山本健一,听说|现在|有|优惠|活动|,,今バーゲン中だそうですね,～だそうだ|今|有る|特恵の|活動|
服务员,"是的|,|这边|的|都|是|打六折|的|",,"そうです,この辺りの物は全て四割引です","そうです|,|この辺り|の|全て|～です|四割引する|の|"
山本健一,这个|鞋子|多少钱|?|,,この靴はいくらですか?,この|靴|いくら|?|
服务员,"原价|是|一百五块|,|现在|九十块|",,定価は百五十元で今は九十元です,"定価|～です|百五十元|,|今|九十元|"
山本健一,那个|呢|?|,,あれは?,あれ|（疑問文の文末に用い答えを催促する語気がある）|?|
服务员,"不好意思|,|那边|的|打折|不了|",,"すみません,あの辺りのは割引できません","すみません|,|あの辺り|の|割引する|～しきれない|"
山本健一,"好的|,|我|看看|",,"分かりました,ちょっと見てみます","分かりました|,|私|ちょっと見てみる|"
10020课,旅行,旅行は好きですか？,,
李娜,你|喜欢|去|旅游|吗|?|,,あなた旅行は好きですか?,あなた|好き|行く|旅行|～ですか|?|
山本健一,"我|不太|喜欢|,|不怎么|去|旅游|",,"あまり好きじゃないです,そんなに旅行には行きません","私|あまり～ない|好き|,|そんなに～ない|行く|旅行|"
李娜,你|去过|中国|的|什么|地方|?|,,中国のどんな場所に行ったことがありますか,あなた|行ったことがある|中国|の|どんな|場所|?|
山本健一,"除了|上海|以外|,|我|都|没|去过|",,上海以外は全て行ったことがありません,"～を除いて|上海|以外|,|私|全て|～してない|行ったことがある|"
李娜,"太|可惜|了|,|你|应该|去|旅游|",,"とてももったいないよ,旅行に行くべきですよ","|すごく～（文末に了を伴う）|惜しい|（強調、太～了の形で使われる）|,|あなた|～すべきである|行く|旅行|"
山本健一,你|有|推荐|的|地方|吗|?|,,おすすめの場所はありますか?,あなた|有る|おすすめ|の|場所|～ですか|?|
李娜,北京|吧|,,北京かな,北京|～でしょう（推量）|
