店员,有|会员|卡|吗|?|,,会員カードはありますか？,有る|会員|カード|～ですか（疑問詞）|?|
山本健一,没有|,,ありません,ない|
店员,一共|十块|.|正好|,,合わせて十元です、ちょうどですね,合計で|十元|.|ちょうどよい|
6课,生活,你是什么时候来上海的？,,
李娜,你|是|什么时候|来|上海|的|?|,,あなたはいつ上海に来たのですか？,あなた|～です|いつ（疑問詞）|来る|上海|の|?|
山本健一,我|刚|来|,,私は来たばかりです,私|～です|～したばかり|来る|の|
李娜,你|什么时候|回|日本|?|,,いつ日本に戻りますか？,あなた|いつ（疑問詞）|戻る|日本|?|
山本健一,我|下个|星期|回|日本|,,来週日本に戻ります,私|下の|週|戻る|日本|
7课,问路,洗手间在哪里？,,
山本健一,"请问|,|洗手间|在|哪里|?|",,お尋ねします、トイレはどこですか？,お尋ねします|お手洗い|ある|どこ（疑問詞）|?|
店员,一直|往|前|走|,,まっすぐ前に行って下さい,まっすぐに|～の方へ|前|行く|
山本健一,近|吗|?|,,トイレは近いですか？,近い|～ですか|?|
店员,有点|远|,,少し遠いです,少し|遠い|
山本健一,"知道了|,|谢谢|",,分かりました、ありがとうございます,"分かる|,|ありがとう|"
8课,打车,您要去哪儿？,,
司机,您|要|去|哪儿|?|,,どこに行きますか？,あなた（你の敬語表現）|～したい（意思）|行く|どこ（疑問詞）|?|
山本健一,我|要|到|上海花园酒店|,,上海花園ホテルまで行って下さい,私|～したい（意思）|着く|上海花園ホテル|
司机,好的|,,分かりました,分かりました|
山本健一,请|向|左|拐|.|就|在|这里|停|车|吧|,,左に曲がって下さい、ここで止めて下さい,どうぞ～して下さい|～へ|左|曲がる|.|すぐ|～で|ここ|停める|車|～しましょう（相談・提案の意を表す）|
9课,打车,停在这里可以吗？,,
司机,"先生|,|上海花园酒店|到|了|,|停|在|哪儿|?|",,お客さん、上海花園ホテルに着きました、どこに止めましょうか？,"～さん（男性に対する敬称）|上海花園ホテル|着く|～した|,|停める|～で|どこ（疑問詞）|?|"
山本健一,停|在|前面|的|路口|,,前の交差点に止めて下さい,停める|～で|前|の|交差点|
司机,"不好意思|,|路口|不|可以|停|车|.|停|在|这里|可以|吗|?|",,すみません、交差点では止めることが出来ません。ここに止めてもよろしいですか？,"すみません|,|交差点|～ではない|～できる|停める|車|停める|.|～で|ここ|～できる|～ですか|?|"
山本健一,可以|.|多少钱|?|,,いいですよ、おいくらですか？,～できる|いくら|?|
司机,三十块|,,三十元です,三十元|
山本健一,"谢谢|,|再见|",,ありがとうございます、ではまた,"ありがとうございます|,|さようなら|"
10课,吃饭,小笼包好吃吗？,,
服务员,"这|是|菜单|,|你们|要|吃|什么|?|",,これはメニューです、何が要りますか？,"これ|～です|メニュー|,|あなた達|～したい|食べる|何|?|"
山本健一,我们|要|两|份|小笼包|,,牛肉ラーメン二杯下さい,私達|ほしい|二|（量詞、組・セットになっているものに用いる）|小籠包|
李娜,小笼包|好吃|吗|?|,,牛肉ラーメンは美味しいですか？,小籠包|おいしい|～ですか|?|
山本健一,很|好吃|!|,,とても美味しいよ,とても|おいしい|!|
李娜,"服务员|,|买单|",,店員さん、お勘定お願いします,"従業員、ウエイター、ウェイトレス|,|お勘定お願いします|"
服务员,一共|十四块|,,合計十四元です,合計で|十四元|
山本健一,"谢谢|,|再见|",,ありがと、またね,"ありがとうございます|,|さようなら|"
11课,打电话,明天有没有空？,,
李娜,"喂|,|你好|",,もしもし、こんにちは,"もしもし|,|こんにちは|"
山本健一,"你好|,|明天|有|没有|空|?|",,こんにちは、彼は私の友達です明日空いてますか？,"こんにちは|,|明日|有る|ない|空いている時間|?|"
李娜,有|空|,,空いてますよ,有る|空いている時間|
山本健一,"我们|明天|去|中山公园|,|好不好|?|",,明日中山公園に行きませんか？,私達|明日|行く|中山公園|よい|いいですか（疑問詞）|?|
李娜,好|,,いいですよ,いいです
山本健一,"那|我们|十|点|在|你|家|见|,|好|吗|?|",,じゃあ、十時にあなたの家で会いましょうか？,"じゃあ|,|私達|十|時|～で|あなた|家|会う|,|いいです|～ですか？|"
李娜,好|.|我|等|你|,,いいよ、待ってます,いいです|私|待つ|あなた|
12课,打电话,我现在订座,,
服务员,"您好|,|这里|是|日本|料理店|",,こんにちは、日本料理店です,"こんにちは|,|ここ|～です|日本|料理店|"
山本健一,"你好.|我|现在|订座|,|可以|吗|?|",,こんにちは。今予約できますか？,"こんにちは|,|私|今|席を予約する|～できる|～ですか|?|"
服务员,"可以|.|请问|,|你们|几|位|?|",,出来ますよ。お聞きしますが、何名様でしょうか？,～できる|.|お尋ねします|あなた達|いくつ（疑問詞）|（量詞、敬意を伴って人数を数える）|?|
山本健一,我们|一共|三个人|,,合計三名です,私達|合計|三人|
服务员,你们|几|点|到|?|,,何時に着きますか？,あなた達|いくつ（疑問詞）|時|着く|?|
山本健一,晚上|七点|,,晩の七時です,晩|七時|
服务员,好的|,,分かりました,分かりました|
13课,酒店,单人房间还是双人房间？,,
山本健一,有|空|的|房间|吗|?|,,空いている部屋は有りますか？,有る|空いている|の|部屋|～ですか|?|
酒店前台,您|要|单人房|还是|双人房|?|,,シングルルームですかそれともツインルームですか？,あなた|要る|シングル|部屋|～か、それとも～か|ツイン|部屋|?|
山本健一,"要|单人房,|住|一|天|多少钱|?|",,シングルルームでお願いします。一日おいくらですか？,要る|シングル|部屋|住む|一|日|いくら|?|
酒店前台,三百|块|钱|,,三百元です,三百|元|お金|
山本健一,好的|,,分かりました,分かりました|
酒店前台,"房间|是|310|号|,|这|是|房间|钥匙|",,部屋は310号室です、これは部屋の鍵になります,"部屋|～です|310|号室|,|これ|～です|部屋|鍵|"
14课,生活,你的生日是几月几号？,,
山本健一,你|的|生日|是|几|月|几|号|?|,,あなたの誕生日は何月何日ですか？,あなた|の|誕生日|～です|いくつ|月|いくつ|日|?|
李娜,我|的|生日|是|三|月|三|号|,,私の誕生日は三月三日です,私|の|誕生日|～です|三|月|三|日|
山本健一,是|吗|?|那|你|的|生日|快|到|了|.|你|想|吃|中餐|还是|西餐|?|,,そうですか、じゃあもうすぐ誕生日ですね。あなたは中華料理が食べたいですか？それとも洋食ですか？,～です|～ですか|?|じゃあ|あなた|の|誕生日|もうすぐ|来る|.|あなた|～したい|食べる|中華料理|それとも|洋食|?|
李娜,"我|是|中国人|,|不过|我|喜欢|吃|西餐|",,私は中国人です、でも洋食が好きです,"私|～です|中国人|,|でも|私|好き|食べる|洋食|"
山本健一,那|我们|就|一起|去|吃|西餐|吧|!|,,じゃあ、一緒に洋食を食べに行きましょう！,"じゃあ|,|私達|すぐ|一緒に|行く|食べる|洋食|～しましょう|!|"
15课,生活,外面热不热？,,
山本健一,外面|热|不|热|?|,,外は熱いですか？,外|暑い|～ではない|暑い|?|
李娜,"热|死了|,|我|希望|明天|下|雨|",,熱すぎるよ。明日雨が降って欲しいです,暑い|すごく～|私|望む|明日|降る|雨|
山本健一,这个|周末|下|雨|吗|?|,,今週末雨ですか？,この|週末|降る|雨|～ですか|?|
李娜,我|不|知道|,,知りませんよ,私|～ではない|知る|
山本健一,我|希望|周末|不|下|雨|,,週末は雨が降って欲しくないですね,私|望む|週末|～ではない|降る|雨|
李娜,为什么|?|,,どうして？,どうして（疑問詞）|?|
山本健一,周末|我们|要|一起|去|动物园|.|你|忘|了|吗|?|,,週末私たちは一緒に動物園にいくつもりです、あなた忘れたの？,週末|私達|～するつもりだ|一緒に|行く|動物園|.|あなた|忘れる|～した|?|
16课,IT,能不能上网？,,
山本健一,在|这里|能|上网|吗|?|,,ここはインターネット出来ますか？,～で|ここ|～できる（能力や条件が備わっている）|インターネットをする|～ですか|?|
服务员,这里|能|上网|,,出来ますよ,ここ|～できる|インターネットをする|
山本健一,太|好|了|,,よかった,すごく～（文末に了を伴う）|良い|（強調、太～了の形で使われる）|
服务员,在|上海|有|无线|wifi|的|店|很|多|,,上海は無線wifiが有るお店が多いですよ,～で|上海|有る|無線|wifi|の|お店|とても|多い|
山本健一,密码|是|什么|?|,,パスワードは何ですか？,パスワード|～です|何|?|
服务员,密码|是|这个|,,パスワードはこれです,パスワード|～です|これ|
山本健一,谢谢|,,ありがとうございます,ありがとうございます|
17课,生活,你会说中文吗？,,
服务员,你|会|说|中文|吗|?|,,あなたは中国語を話すことが出来ますか？,あなた|～できる（技術を習得した結果）|話す|中国語|～ですか|?|
山本健一,我|会|说|一点|中文|,,私は少し中国語を話せます,私|～できる（技術を習得した結果）|話す|少し|中国語|
服务员,中文|难|不|难|?|,,中国語は難しいですか？,中国語|難しい|～ではない|難しい|?|
山本健一,中文|的|发音|太|难|了|,,中国語の発音は難しすぎます,中国語|の|発音|～すぎる（文末に了を伴う）|難しい|（強調）|
服务员,"不过|你|的|发音|不错|,|加油|!|",,でもあなたの発音はいいですよ、頑張ってね！,"でも|あなた|の|発音|よい|,|頑張って|!|"
18课,买东西,有大一点儿的吗？,,
店员,欢迎光临|,,いらっしゃいませ,いらっしゃいませ|
山本健一,我|可以|试试|那|件|衣服|吗|?|,,あの服を試してもいいでしょうか？,私|～できる|試す|あの|（量詞、衣類主に上着に用いる）|服|～ですか|?|
店员,"可以|,|这|是|新款|的|",,いいですよ、これは新しいデザインのものです,"～できる|,|これ|～です|新しいデザイン|の|"
山本健一,"这件|衣服|太|小|了|,|有|大|一点|的|吗|?|",,この服は小さすぎますね、少し大きいのはありますか？,"この|服|～すぎる|小さい|（強調）|,|有る|大きい|少し|の|～ですか|?|"
店员,有的|.|这|是|大号|的|,,あります。これはLサイズです,有る|.|これ|～です|大きいサイズ、Lサイズ|の|
山本健一,"很|合适|,|我|买|这个|.|",,合いますね、これ下さい。,とても|ちょうどよい|私|買う|これ|.|
19课,喝酒,干杯!,,
李娜,你|喜欢|喝|什么|酒|?|,,あなたは何のお酒が好きですか？,あなた|好き|飲む|何|お酒|?|
山本健一,啤酒|吧|,,ビールかな,ビール|～でしょう（推量）|
李娜,我|也|很|喜欢|啤酒|,,私もビールがとても好きです,私|も|とても|好き|ビール|
山本健一,今天|多|喝|一点|,,今日はたくさん飲みましょう,今日|多い|飲む|少し|
李娜,为|我们|的|友谊|干杯|,,私達の友情に乾杯,～のために|私達|の|友情|乾杯する|
山本健一,干杯|!|,,乾杯,乾杯する|!|
20课,机场,从这到大阪要多长时间？,,
山本健一,有|去|大阪|的|机票|吗|?|,,大阪行きの航空券はありますか？,有る|行く|大阪|の|航空券|～ですか|?|
售票处,有|,,有りますよ,有る|
山本健一,我|要|一张|.|这|是|我|的|护照|.|几点|起飞|?|,,一枚下さい。これはパスポートです、何時出発ですか？,私|要る|一枚|これ|～です|私|の|パスポート|.|いくつ|時|離陸する|?|
售票处,下午|一点|起飞|,,午後一時出発です,午後|一時|離陸する|
山本健一,从|这|到|大阪|要|多长时间|?|,,ここから大阪までどれくらい掛かりますか？,～から|ここ|～まで|大阪|かかる|どれぐらいの時間|?|
售票处,大概|两个|多|小时|,,大体二時間以上かかります,大体|二|以上|時間|
山本健一,谢谢|,,ありがとうございます,ありがとうございます|
